country,variable,mean,q2.5,q25,q75,q97.5,gid,month,run_level,variant,identifier,time_left,time_right
SDN,"betas[1,1]",-4.53718369675,-7.5766645,-5.260645,-3.5935125,-2.3897002499999997,SDN.1.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[2,1]",-3.8061847519875,-6.8908645,-4.689685,-2.8300850000000004,-1.19171575,SDN.1.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[3,1]",-4.0223021997,-7.1583395,-4.930125,-3.0504375,-1.3436119999999998,SDN.1.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[4,1]",-4.2126208235,-7.2503205,-5.0206,-3.2897825,-1.9364799999999995,SDN.1.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[5,1]",-4.44598690605,-7.684906,-5.2689025,-3.450085,-2.02507525,SDN.1.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[6,1]",-3.7973384377315,-7.163221,-4.8127525,-2.7295425,-0.6828047249999996,SDN.1.6_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[7,1]",-3.8731569907075,-6.94665875,-4.776924999999999,-2.8927824999999996,-0.9814812749999995,SDN.1.7_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[8,1]",-3.74158396616,-6.780848250000001,-4.664545,-2.776115,-0.9624973749999995,SDN.10.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[9,1]",-3.936950894275,-6.8594045,-4.8187675,-2.9900725,-1.1956052499999996,SDN.10.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[10,1]",-3.978714521275,-7.109260750000001,-4.8357525,-3.0356650000000003,-1.204730249999999,SDN.10.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[11,1]",-3.8826914107875,-7.00049125,-4.7761175,-2.92937,-1.14856475,SDN.10.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[12,1]",-3.9226180969,-6.985403750000001,-4.80274,-2.9445300000000003,-1.3242175,SDN.11.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[13,1]",-3.9945640472225,-6.964985250000001,-4.8281025,-3.07542,-1.3352397499999995,SDN.11.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[14,1]",-3.882668081275,-6.9000115,-4.72002,-2.9650925,-1.3633492499999995,SDN.11.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[15,1]",-3.8718854183,-6.8561197499999995,-4.7791250000000005,-2.908765,-0.9385385749999999,SDN.11.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[16,1]",-4.094294339675,-7.00714075,-4.86515,-3.1836275,-1.5539942499999986,SDN.12.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[17,1]",-4.3827920925,-7.69469975,-5.15839,-3.4263900000000005,-1.967705,SDN.12.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[18,1]",-4.04257237335,-7.0587159999999995,-4.842334999999999,-3.1160050000000004,-1.7495924999999986,SDN.12.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[19,1]",-4.614656205,-7.634036,-5.39137,-3.67113,-2.51822825,SDN.12.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[20,1]",-4.6361097175,-7.80197325,-5.34861,-3.7055275,-2.58233875,SDN.12.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[21,1]",-3.989695032525,-6.90325675,-4.84853,-3.075165,-1.3966747499999994,SDN.12.6_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[22,1]",-4.841378785,-8.31834625,-5.660645000000001,-3.8071,-2.5052222499999997,SDN.13.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[23,1]",-5.72566388025,-10.437357500000001,-7.14322,-4.12457,-1.9838642499999999,SDN.13.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[24,1]",-5.65071698,-10.43565,-6.891205,-4.1109,-2.083914499999997,SDN.13.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[25,1]",-5.17241580175,-9.606195249999999,-6.1557175,-3.8993025,-2.3898144999999995,SDN.14.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[26,1]",-5.19062430325,-9.6679195,-6.2935975,-3.8317425,-2.089096,SDN.14.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[27,1]",-4.504567136875,-7.98349075,-5.3604275,-3.5136575000000003,-2.0106587499999997,SDN.14.3_1,1,2,mixture,mean_annual_incidence,all,all
