mean,q025,q975,Rhat,param,param_fam,country,run_level,variant,identifier,time_left,time_right,source
-0.87348736825,-1.3312249999999999,-0.4248217499999999,0.9998070177293473,betas_g1[1],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
-0.668917217275,-1.1234075,-0.2219189999999999,1.000382418553986,betas_g1[2],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
-0.43105015768,-0.855948,-0.01745377499999988,1.0002497840724638,betas_g1[3],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
-0.0734816154575,-0.48982325,0.3291105,0.9997861489304839,betas_g1[4],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
0.4122395914,0.036229975,0.7841805000000002,1.0006589304808222,betas_g1[5],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
1.056210195,0.68416475,1.4285175,0.999933240710853,betas_g1[6],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
0.99340465,0.6255825,1.3760299999999999,1.0001182956162493,betas_g1[7],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
0.63688572475,0.2602795,1.0145625000000003,1.0011351228322145,betas_g1[8],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
0.629223088375,0.249397,1.0168125,1.0000073787925354,betas_g1[9],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
0.01979761359505,-0.36359625,0.3901790000000001,0.9998885610565701,betas_g1[10],betas_g1,SSD,2,base,occurrence,all,all,./generated_data/outputs/output_SSD_occurrence_base_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
